time;gFx;gFy;gFz;TgF
1.392917188;0,0188;-0,0134;0,5060;0,507
1.397324479;0,0000;-0,0809;0,5015;0,508
1.401559375;-0,0030;-0,1391;0,4935;0,513
1.405774479;0,0147;-0,1880;0,4911;0,526
1.408839583;0,0413;-0,2153;0,4840;0,531
1.412748438;0,0683;-0,2367;0,4755;0,536
1.417727604;0,0974;-0,2591;0,4692;0,545
1.420683854;0,1236;-0,2760;0,4703;0,559
1.424817188;0,1507;-0,2890;0,4745;0,576
1.428645833;0,1886;-0,2973;0,4829;0,598
1.435009375;0,2251;-0,3024;0,4953;0,622
1.439678125;0,2684;-0,3084;0,5091;0,653
1.440232813;0,3248;-0,3212;0,5248;0,696
1.444322917;0,3712;-0,3393;0,5378;0,736
1.450769271;0,4064;-0,3604;0,5455;0,770
1.453142708;0,4320;-0,3831;0,5387;0,790
1.456602604;0,4457;-0,3958;0,5205;0,791
1.460386979;0,4498;-0,3998;0,4882;0,775
1.465474479;0,4513;-0,3996;0,4381;0,745
1.469947396;0,4560;-0,3986;0,3955;0,723
1.472204167;0,4711;-0,3966;0,3595;0,713
1.478695833;0,5064;-0,3947;0,3327;0,723
1.480714063;0,5424;-0,3930;0,3201;0,742
1.48918125;0,5651;-0,3926;0,3141;0,756
1.490175;0,5923;-0,3894;0,2907;0,766
1.492093229;0,6042;-0,3815;0,2607;0,761
1.49624375;0,6068;-0,3749;0,2179;0,746
1.500321354;0,6023;-0,3686;0,1476;0,721
1.504186458;0,5739;-0,3524;0,0743;0,677
1.507914583;0,5780;-0,3322;-0,0329;0,667
1.51280625;0,5938;-0,3120;-0,1536;0,688
1.519226563;0,5916;-0,2872;-0,2555;0,706
1.520256771;0,5730;-0,2608;-0,3611;0,726
1.524030208;0,5475;-0,2431;-0,4232;0,733
1.527857812;0,5256;-0,2262;-0,4534;0,730
1.532364062;0,5051;-0,2036;-0,4535;0,709
1.536867187;0,5014;-0,1837;-0,4229;0,681
1.540017708;0,5106;-0,1658;-0,3612;0,647
1.544619271;0,5279;-0,1496;-0,2427;0,600
1.548854167;0,5466;-0,1515;-0,1089;0,578
1.553507812;0,5741;-0,1706;0,0461;0,601
1.557009375;0,6270;-0,1969;0,2493;0,703
1.560530208;0,6835;-0,2134;0,4490;0,845
1.564290104;0,7458;-0,2161;0,6582;1,018
1.569194271;0,8088;-0,1971;0,8911;1,219
1.571647396;0,8488;-0,1647;1,0776;1,382
1.575700521;0,8708;-0,1185;1,2402;1,520
1.579465625;0,8812;-0,0387;1,3850;1,642
1.584736979;0,8722;0,0381;1,4726;1,712
1.587785417;0,8502;0,1149;1,5114;1,738
1.591521354;0,8085;0,1949;1,4964;1,712
1.603127604;0,7703;0,2541;1,4324;1,646
1.605652083;0,7374;0,3046;1,3322;1,553
1.606267187;0,7229;0,3631;1,1890;1,438
1.609339062;0,7142;0,4180;1,0730;1,355
1.614079167;0,6884;0,4805;1,0100;1,313
1.619388021;0,6281;0,5393;1,0018;1,300
1.621596354;0,5608;0,5741;1,0291;1,305
1.623966667;0,5023;0,5977;1,0576;1,315
1.627342187;0,4508;0,6180;1,0817;1,325
1.634754687;0,4180;0,6366;1,1002;1,338
1.639546875;0,4073;0,6540;1,1199;1,359
1.64018125;0,4252;0,6685;1,1402;1,388
1.643271875;0,4633;0,6770;1,1715;1,430
1.647910937;0,5061;0,6812;1,2222;1,488
1.651863542;0,5543;0,6741;1,3144;1,578
1.655477083;0,5963;0,6603;1,4200;1,676
1.659323437;0,6422;0,6428;1,5498;1,797
1.663032292;0,6991;0,6131;1,7287;1,963
1.667315625;0,7344;0,5775;1,8956;2,113
1.671313542;0,7495;0,5319;2,0518;2,248
1.676695312;0,7465;0,4801;2,1959;2,369
1.678817708;0,7316;0,4467;2,2780;2,434
1.683950521;0,6993;0,4307;2,3269;2,468
1.689138542;0,6443;0,4296;2,3329;2,458
1.690644792;0,5756;0,4317;2,2877;2,398
1.69465;0,4908;0,4422;2,1810;2,279
1.700560417;0,4254;0,4513;2,0505;2,142
1.704029687;0,3588;0,4641;1,8571;1,948
1.706677083;0,2734;0,4931;1,6657;1,759
1.710503125;0,2039;0,5348;1,6197;1,718
1.715135937;0,1491;0,5812;1,6236;1,731
1.718916146;0,1123;0,6148;1,6159;1,733
1.722329687;0,1251;0,6136;1,5727;1,693
1.726723958;0,1842;0,5928;1,4952;1,619
1.731580729;0,2532;0,5727;1,3836;1,519
1.7367375;0,2939;0,5633;1,2713;1,421
1.739140104;0,3132;0,5516;1,1532;1,316
1.743203646;0,3020;0,5329;1,0263;1,195
1.747388021;0,2755;0,5069;0,9357;1,099
1.75203125;0,2349;0,4726;0,8883;1,033
1.756242708;0,1747;0,4168;0,9131;1,019
1.759139062;0,1485;0,3445;0,9794;1,049
1.762257292;0,1108;0,2620;1,0747;1,112
1.767165625;0,0759;0,1598;1,2186;1,231
1.769883854;0,1364;0,0690;1,2623;1,272
1.774207812;0,1351;0,0266;1,2532;1,261
1.778441667;0,0614;0,0431;1,3766;1,379
1.7837875;0,0017;0,0664;1,4568;1,458
1.7860625;-0,0288;0,0987;1,4756;1,479
1.791213021;-0,0433;0,1286;1,4401;1,446
1.793708854;-0,0880;0,1203;1,3737;1,382
1.799622396;-0,2509;0,0860;1,3332;1,359
1.801638542;-0,4144;0,0749;1,3534;1,417
1.805877604;-0,4934;0,0783;1,3643;1,453
1.809831771;-0,5489;0,0824;1,3484;1,458
1.814022396;-0,5613;0,0905;1,2850;1,405
1.817508333;-0,5295;0,1018;1,2072;1,322
1.821642708;-0,4743;0,1194;1,1095;1,213
1.826245312;-0,4101;0,1584;0,9838;1,078
1.829458333;-0,3779;0,1993;0,8778;0,976
1.835764583;-0,3679;0,2382;0,7857;0,900
1.837684896;-0,3766;0,2740;0,6946;0,836
1.841565625;-0,3884;0,2920;0,6390;0,803
1.845546875;-0,4058;0,3060;0,6218;0,803
1.851330208;-0,4324;0,3245;0,6576;0,851
1.855213542;-0,4234;0,3162;0,5452;0,759
1.857538542;-0,4271;0,3088;0,4365;0,684
1.861348437;-0,4461;0,3058;0,3693;0,655
1.868169792;-0,4633;0,3079;0,3414;0,653
1.871928125;-0,4709;0,3111;0,3173;0,647
1.873535937;-0,4697;0,3190;0,2897;0,637
1.877766667;-0,4587;0,3336;0,2753;0,630
1.885357292;-0,4320;0,3466;0,2787;0,620
1.886370312;-0,3864;0,3653;0,2984;0,610
1.889113021;-0,3456;0,3768;0,3250;0,606
1.893030208;-0,3025;0,3792;0,3684;0,609
1.897084896;-0,2731;0,3670;0,4173;0,619
1.901222396;-0,2464;0,3402;0,4801;0,638
1.905033854;-0,1985;0,3071;0,5773;0,683
1.912546875;-0,1464;0,2859;0,6760;0,748
1.916061979;-0,0844;0,2724;0,7770;0,828
1.91683125;-0,0157;0,2587;0,8819;0,919
1.921242187;0,0346;0,2378;0,9489;0,979
1.924805208;0,0687;0,2096;0,9966;1,021
1.930153125;0,0766;0,1764;1,0262;1,044
1.933293229;0,0376;0,1487;1,0240;1,035
1.93680625;-0,0354;0,1188;0,9927;1,000
1.941060937;-0,1406;0,0698;0,9450;0,958
1.944492187;-0,2359;0,0154;0,9062;0,937
1.949405729;-0,3369;-0,0442;0,8716;0,936
1.952697917;-0,4603;-0,1079;0,8484;0,971
1.956468229;-0,5575;-0,1459;0,8596;1,035
1.960384896;-0,6334;-0,1727;0,9162;1,127
1.96584375;-0,6782;-0,1821;1,0498;1,263
1.969439583;-0,6631;-0,1768;1,1903;1,374
1.973214062;-0,5841;-0,1737;1,3130;1,448
1.976463021;-0,4381;-0,1683;1,4090;1,485
1.980533854;-0,3085;-0,1417;1,4420;1,481
1.984356771;-0,2039;-0,0974;1,4428;1,460
1.988129167;-0,1108;-0,0389;1,4314;1,436
1.994182812;-0,0523;0,0131;1,4424;1,443
1.996938021;-0,0172;0,0809;1,4837;1,486
2.000567708;0,0070;0,1878;1,5778;1,589
2.004108333;0,0196;0,2986;1,6788;1,705
2.008153125;0,0434;0,4026;1,7635;1,809
2.01275625;0,1170;0,4699;1,8185;1,882
2.019636979;0,2152;0,4631;1,8278;1,898
2.024671354;0,3205;0,4044;1,8219;1,894
2.025152604;0,4119;0,3152;1,8131;1,886
2.029373958;0,4435;0,2649;1,8069;1,879
2.032170312;0,4324;0,2538;1,8123;1,880
2.036339583;0,4027;0,2693;1,8303;1,893
2.03996875;0,3657;0,2816;1,8553;1,912
2.044088021;0,3317;0,2852;1,8850;1,935
2.050214062;0,2938;0,2766;1,9235;1,965
2.052668229;0,2661;0,2660;1,9544;1,990
2.062022917;0,2413;0,2539;1,9812;2,012
2.063479167;0,2145;0,2407;2,0069;2,033
2.065817708;0,1944;0,2297;2,0201;2,042
2.067986458;0,1772;0,2170;2,0173;2,037
2.073761458;0,1675;0,1927;1,9887;2,005
2.075685417;0,1702;0,1623;1,9450;1,959
2.081945833;0,1763;0,1336;1,8881;1,901
2.084252083;0,1770;0,1121;1,7984;1,811
2.0875625;0,1779;0,1055;1,7024;1,715
2.091639583;0,1820;0,1033;1,5755;1,589
2.095479167;0,1849;0,1008;1,4589;1,474
2.1000375;0,1911;0,0955;1,3337;1,351
2.104347396;0,2106;0,0853;1,1855;1,207
2.107755729;0,2544;0,0891;1,0636;1,097
2.111366146;0,3298;0,1118;0,9510;1,013
2.116113542;0,4385;0,1613;0,8305;0,953
2.11943125;0,5330;0,2155;0,7319;0,931
2.123691146;0,6187;0,2683;0,6429;0,932
2.127072917;0,6964;0,3186;0,5532;0,945
2.132272396;0,7371;0,3438;0,4860;0,947
