time;gFx;gFy;gFz;TgF
0.932532291;-0,1950;0,0346;0,9088;0,930
0.936567187;-0,1860;0,0535;0,9326;0,952
0.942322916;-0,1810;0,0692;0,9638;0,983
0.945560416;-0,1810;0,0789;0,9936;1,013
0.948565104;-0,1842;0,0801;1,0201;1,040
0.952263541;-0,1829;0,0694;1,0464;1,065
0.958254687;-0,1811;0,0527;1,0656;1,082
0.961854687;-0,1775;0,0313;1,0855;1,100
0.964395833;-0,1763;-0,0002;1,1097;1,124
0.968211458;-0,1748;-0,0315;1,1270;1,141
0.972274479;-0,1688;-0,0654;1,1296;1,144
0.976235937;-0,1652;-0,0976;1,1200;1,136
0.980161458;-0,1654;-0,1198;1,1097;1,128
0.984297395;-0,1711;-0,1340;1,1030;1,124
0.988107291;-0,1855;-0,1420;1,1044;1,129
0.992109895;-0,2018;-0,1450;1,1060;1,134
0.996685937;-0,2237;-0,1426;1,1086;1,140
0.999855729;-0,2537;-0,1464;1,1091;1,147
1.005066666;-0,3012;-0,1462;1,1138;1,163
1.014040625;-0,3680;-0,1350;1,1248;1,191
1.015267708;-0,4649;-0,1181;1,1478;1,244
1.017138541;-0,5440;-0,1017;1,1578;1,283
1.019970312;-0,5889;-0,0894;1,1508;1,296
1.023751562;-0,5854;-0,0888;1,1352;1,280
1.028280729;-0,5442;-0,0986;1,1195;1,249
1.033028645;-0,4885;-0,1147;1,1056;1,214
1.037546354;-0,4180;-0,1219;1,0941;1,178
1.040383333;-0,3820;-0,1141;1,0872;1,158
1.044517187;-0,3626;-0,0952;1,0826;1,146
1.04739427;-0,3678;-0,0913;1,0611;1,127
1.052209895;-0,3778;-0,0828;1,0406;1,110
1.055926562;-0,3819;-0,0584;1,0370;1,107
1.062758333;-0,3720;-0,0369;1,0427;1,108
1.06488177;-0,3525;-0,0152;1,0505;1,108
1.068841145;-0,3284;0,0025;1,0567;1,107
1.07185625;-0,3181;0,0126;1,0591;1,106
1.07534375;-0,3196;0,0153;1,0692;1,116
1.079338541;-0,3319;0,0104;1,0891;1,139
1.084226562;-0,3501;-0,0128;1,1048;1,159
1.08960052;-0,3700;-0,0374;1,1138;1,174
1.091463541;-0,3888;-0,0426;1,1754;1,239
1.097372916;-0,4090;-0,0488;1,2374;1,304
1.099346875;-0,4371;-0,0581;1,3038;1,376
1.103183854;-0,4641;-0,0689;1,3762;1,454
1.107223437;-0,4751;-0,0779;1,4281;1,507
1.114346875;-0,4774;-0,0877;1,4690;1,547
1.11693177;-0,4744;-0,0943;1,5077;1,583
1.120332812;-0,4682;-0,0962;1,5366;1,609
1.123078125;-0,4518;-0,0915;1,5450;1,612
1.127614062;-0,4401;-0,0861;1,5283;1,593
1.1311625;-0,4349;-0,0780;1,4933;1,557
1.136926562;-0,4461;-0,0668;1,4477;1,516
1.13908802;-0,4467;-0,0494;1,3928;1,464
1.144853125;-0,4374;-0,0301;1,3414;1,411
1.148064583;-0,4401;-0,0168;1,2960;1,369
1.151047916;-0,4491;-0,0103;1,2647;1,342
1.155777604;-0,4464;-0,0088;1,2501;1,327
1.159257291;-0,4397;-0,0060;1,2384;1,314
1.163258333;-0,4279;0,0058;1,2257;1,298
1.169763541;-0,4092;0,0214;1,2250;1,292
1.17208177;-0,3889;0,0467;1,2237;1,285
1.175536979;-0,3713;0,0725;1,2238;1,281
1.17998802;-0,3471;0,1019;1,2245;1,277
1.183229687;-0,3210;0,1311;1,2194;1,268
1.186946354;-0,2917;0,1589;1,2080;1,253
1.190992187;-0,2762;0,1766;1,1930;1,237
1.196672916;-0,2086;0,2058;1,1609;1,197
1.198386458;-0,1617;0,2330;1,1254;1,161
1.202352083;-0,1973;0,2277;1,1115;1,152
1.207152083;-0,2382;0,2095;1,1221;1,166
1.212093229;-0,2673;0,1937;1,1398;1,187
1.214305208;-0,2818;0,1826;1,1479;1,196
1.218338541;-0,2946;0,1695;1,1553;1,204
1.222215625;-0,3005;0,1588;1,1523;1,201
1.228855208;-0,2945;0,1497;1,1355;1,183
1.23075052;-0,2797;0,1399;1,1045;1,148
1.234260416;-0,2754;0,1307;1,0595;1,102
1.238598958;-0,2761;0,1221;1,0249;1,068
1.242158333;-0,2721;0,1248;0,9893;1,034
1.248222916;-0,2639;0,1369;0,9531;0,998
1.250101041;-0,2832;0,1042;0,9122;0,961
1.254089062;-0,3033;0,0237;0,8163;0,871
1.258698958;-0,2858;0,0370;0,8511;0,899
1.264272395;-0,2551;0,0787;0,8769;0,917
1.266167708;-0,2430;0,1186;0,8668;0,908
1.271338541;-0,2340;0,1501;0,8381;0,883
1.273827604;-0,2172;0,1571;0,8064;0,850
1.278289583;-0,2052;0,1015;0,6879;0,725
1.281736979;-0,1824;0,1124;0,6759;0,709
1.288564583;-0,1595;0,1328;0,6926;0,723
1.289667187;-0,1327;0,1549;0,7110;0,740
1.294093229;-0,1089;0,1716;0,7107;0,739
1.297602083;-0,0884;0,1851;0,7051;0,734
1.301777604;-0,0664;0,1941;0,7051;0,734
1.305849999;-0,0482;0,2010;0,7145;0,744
1.312212499;-0,0295;0,2091;0,7325;0,762
1.314447395;-0,0092;0,2186;0,7573;0,788
1.317492708;0,0084;0,2282;0,7759;0,809
1.321433333;0,0223;0,2379;0,7895;0,825
1.329240624;0,0395;0,2461;0,8025;0,840
1.330161979;0,0561;0,2532;0,8106;0,851
1.333379687;0,0741;0,2559;0,8162;0,859
1.337312499;0,1021;0,2563;0,8187;0,864
1.341260416;0,1165;0,2476;0,8059;0,851
1.345507291;0,1261;0,2356;0,7924;0,836
1.349256249;0,1293;0,2245;0,7831;0,825
1.355916145;0,1282;0,2103;0,7735;0,812
1.358529687;0,1270;0,1976;0,7719;0,807
1.361671354;0,1267;0,1853;0,7843;0,816
1.365413541;0,1308;0,1795;0,8050;0,835
1.369524999;0,1368;0,1721;0,8271;0,856
1.374085416;0,1536;0,1725;0,8576;0,888
